en_source,vn_translate,loi_du_doan
Twin Nova: Collapsar Blade,Twin Nova: Collapsar Blade,C?n ti?ng Anh nghi v?n: Blade; Collapsar; Nova; Twin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Twin Nova: Nebulous Cannon,Twin Nova: Nebulous Cannon,C?n ti?ng Anh nghi v?n: Cannon; Nebulous; Nova; Twin | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
KU-Roro: Impregnable Wall,KU-Roro: Impregnable Wall,C?n ti?ng Anh nghi v?n: Impregnable; KU; Roro; Wall | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Matrix Visitor: Safari Hunter,Matrix Visitor: Safari Hunter,C?n ti?ng Anh nghi v?n: Hunter; Matrix; Safari; Visitor | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
All-Terrain Void Storm Trooper,Tất cả-Terrain Void Storm Trooper,C?n ti?ng Anh nghi v?n: Storm; Terrain; Trooper; Void | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Non-Ideal Light Source,Non-Ideal Light Source,C?n ti?ng Anh nghi v?n: Ideal; Light; Non; Source | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Void Storm Zones,Clear Void Storm Zones,C?n ti?ng Anh nghi v?n: Clear; Storm; Void; Zones | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Initial Force Field Strength,Initial Force Field Strength,C?n ti?ng Anh nghi v?n: Field; Force; Initial; Strength | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Force Field Regen Rate,Force Field Regen Rate,C?n ti?ng Anh nghi v?n: Field; Force; Rate; Regen | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Doubled Pawns Matrix: Pilot is locked,Doubled Pawns Matrix: Pilot bị khóa,C?n ti?ng Anh nghi v?n: Doubled; Matrix; Pawns; Pilot | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Agile Iteration - Support Droid I,Agile Iteration - Hỗ Trợ Droid I,C?n ti?ng Anh nghi v?n: Agile; Droid; I; Iteration | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Orbital Strike - Trial Version,Orbital Strike - Trial Version,C?n ti?ng Anh nghi v?n: Orbital; Strike; Trial; Version | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Agile Iteration - Support Droid II,Agile Iteration - Hỗ Trợ Droid II,C?n ti?ng Anh nghi v?n: Agile; Droid; II; Iteration | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Agile Iteration - Support Droid III,Agile Iteration - Hỗ Trợ Droid III,C?n ti?ng Anh nghi v?n: Agile; Droid; III; Iteration | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Rhythm Injector"" Medical Kit","""Rhythm Injector"" Medical Kit",C?n ti?ng Anh nghi v?n: Injector; Kit; Medical; Rhythm | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dynamic Weak Point Detector,Dynamic Weak Point Detector,C?n ti?ng Anh nghi v?n: Detector; Dynamic; Point; Weak | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Training Protocol Enhancement Key,Training Protocol Enhancement Key,C?n ti?ng Anh nghi v?n: Enhancement; Key; Protocol; Training | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Extraction: Mourning Aix,Data Extraction: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Data; Extraction; Mourning | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Extraction: Lampylumen Myriad,Data Extraction: Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Data; Extraction; Lampylumen; Myriad | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Extraction: Sentry Construct,Data Extraction: Sentry Construct,C?n ti?ng Anh nghi v?n: Construct; Data; Extraction; Sentry | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Projection: Mourning Aix,Data Projection: Mourning Aix,C?n ti?ng Anh nghi v?n: Aix; Data; Mourning; Projection | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Projection: Lampylumen Myriad,Data Projection: Lampylumen Myriad,C?n ti?ng Anh nghi v?n: Data; Lampylumen; Myriad; Projection | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Data Projection: Sentry Construct,Data Projection: Sentry Construct,C?n ti?ng Anh nghi v?n: Construct; Data; Projection; Sentry | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Faded Candy Wrapper Bookmark,Faded Candy Wrapper Bookmark,C?n ti?ng Anh nghi v?n: Bookmark; Candy; Faded; Wrapper | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Boundary of Lunar Phases,Boundary of Lunar Phases,C?n ti?ng Anh nghi v?n: Boundary; Lunar; of; Phases | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Radiance of Fullest Moon,Radiance of Fullest Moon,C?n ti?ng Anh nghi v?n: Fullest; Moon; of; Radiance | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Vast Light of Changes,Vast Light of Changes,C?n ti?ng Anh nghi v?n: Changes; Light; of; Vast | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Clear Heart of Heaven,Clear Heart of Heaven,C?n ti?ng Anh nghi v?n: Clear; Heart; Heaven; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Blade Rinsed, Edge Honed","Blade Rinsed, Edge Honed",C?n ti?ng Anh nghi v?n: Blade; Edge; Honed; Rinsed | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Sleeves Stirred, Mist Arising","Sleeves Stirred, Mist Arising",C?n ti?ng Anh nghi v?n: Arising; Mist; Sleeves; Stirred | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete ""Tutorial Track"" with any Rating on Easy and Normal","Hoàn thành ""Tutorial Track"" với bất kỳ Rating nào ở độ khó Easy và Thường",C?n ti?ng Anh nghi v?n: Easy; Rating; Track; Tutorial | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""Gold Suspended in Shadows"" for a better experience","Hoàn thành Nhiệm vụ Chính ""Gold Suspended in Shadows"" để có trải nghiệm tốt hơn",C?n ti?ng Anh nghi v?n: Gold; in; Shadows; Suspended | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Void Storm: Additional Supply,Void Storm: Additional Supply,C?n ti?ng Anh nghi v?n: Additional; Storm; Supply; Void | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Assault Tech: Emergency Loadout,Assault Tech: Emergency Loadout,C?n ti?ng Anh nghi v?n: Assault; Emergency; Loadout; Tech | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
An Ending No One Knows,An Ending Không One Knows,C?n ti?ng Anh nghi v?n: An; Ending; Knows; One | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A Rival Too Late,A Rival Too Late,C?n ti?ng Anh nghi v?n: A; Late; Rival; Too | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""Gold Suspended in Shadows"" for a better experience","Hoàn thành Nhiệm vụ Chính ""Gold Suspended in Shadows"" để có trải nghiệm tốt hơn",C?n ti?ng Anh nghi v?n: Gold; in; Shadows; Suspended | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Expedition Motorbike Aerial Tactics Module,Expedition Motorbike Aerial Tactics Mô-đun,C?n ti?ng Anh nghi v?n: Aerial; Expedition; Motorbike; Tactics | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Unknown Recording: Voidthirst Cradle,Unknown Recording: Voidthirst Cradle,C?n ti?ng Anh nghi v?n: Cradle; Recording; Unknown; Voidthirst | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete Dreamscape Odyssey: Against All Odds,Hoàn thành Dreamscape Odyssey: Against Tất cả Odds,C?n ti?ng Anh nghi v?n: Against; Dreamscape; Odds; Odyssey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Teleport Unlocked - Chip Instance,Teleport Unlocked - Chip Instance,C?n ti?ng Anh nghi v?n: Chip; Instance; Teleport; Unlocked | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Notification Unlocked - Chip Instance,Notification Unlocked - Chip Instance,C?n ti?ng Anh nghi v?n: Chip; Instance; Notification; Unlocked | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Teleport Unlocked - Character Instance,Teleport Unlocked - Character Instance,C?n ti?ng Anh nghi v?n: Character; Instance; Teleport; Unlocked | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Notification Unlocked - Character Instance,Notification Unlocked - Character Instance,C?n ti?ng Anh nghi v?n: Character; Instance; Notification; Unlocked | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Teleport - Large Huabiao - Console,Teleport - Large Huabiao - Console,C?n ti?ng Anh nghi v?n: Console; Huabiao; Large; Teleport | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-Tune Wall Destruction 1,Mid-Tune Wall Destruction 1,C?n ti?ng Anh nghi v?n: Destruction; Mid; Tune; Wall | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-Tune Wall Destruction 1,Mid-Tune Wall Destruction 1,C?n ti?ng Anh nghi v?n: Destruction; Mid; Tune; Wall | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mid-Tune Wall Destruction 1,Mid-Tune Wall Destruction 1,C?n ti?ng Anh nghi v?n: Destruction; Mid; Tune; Wall | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cannot begin Dungeon as non-World host,Không thể bắt đầu Dungeon với tư cách non-World host,C?n ti?ng Anh nghi v?n: Dungeon; host; non; World | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Interact with Sound String to activate Sonoro Sphere,Tương tác với Sound String để kích hoạt Sonoro Sphere,C?n ti?ng Anh nghi v?n: Sonoro; Sound; Sphere; String | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sort By Date Acquired,Sort By Date Acquired,C?n ti?ng Anh nghi v?n: Acquired; By; Date; Sort | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Official Community ""KURO APP""","Official Community ""KURO APP""",C?n ti?ng Anh nghi v?n: APP; Community; KURO; Official | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest Chapter I Act III ""Ominous Star"" to Unlock","Hoàn thành Chương I Hồi III ""Ominous Star"" của Nhiệm Vụ Chính để mở khóa",C?n ti?ng Anh nghi v?n: I; III; Ominous; Star | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Set As Background Music,Set As Background Music,C?n ti?ng Anh nghi v?n: As; Background; Music; Set | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Set As Background Music,Set As Background Music,C?n ti?ng Anh nghi v?n: As; Background; Music; Set | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Insufficient Riccioli Fishery Coins,Insufficient Riccioli Fishery Coins,C?n ti?ng Anh nghi v?n: Coins; Fishery; Insufficient; Riccioli | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Insufficient Riccioli Fishery Coins,Insufficient Riccioli Fishery Coins,C?n ti?ng Anh nghi v?n: Coins; Fishery; Insufficient; Riccioli | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Spacetrek Convoy Supply Chest claim limit reached,Đã đạt giới hạn nhận rương Spacetrek Convoy Supply Chest,C?n ti?ng Anh nghi v?n: Chest; Convoy; Spacetrek; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""Gold Suspended in Shadows""","Hoàn thành Nhiệm Vụ Chính ""Gold Suspended in Shadows""",C?n ti?ng Anh nghi v?n: Gold; in; Shadows; Suspended | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Tempest Mephis - Early Access,Tempest Mephis - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Mephis; Tempest | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Feilian Beringal - Early Access,Feilian Beringal - Early Access,C?n ti?ng Anh nghi v?n: Access; Beringal; Early; Feilian | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Mech Abomination - Early Access,Mech Abomination - Early Access,C?n ti?ng Anh nghi v?n: Abomination; Access; Early; Mech | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Reactor Husk - Early Access,Reactor Husk - Early Access,C?n ti?ng Anh nghi v?n: Access; Early; Husk; Reactor | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blue-Spotted Giant Fish,Blue-Spotted Giant Fish,C?n ti?ng Anh nghi v?n: Blue; Fish; Giant; Spotted | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Casket Sonar Use Permit: Roya Frostlands,Giấy phép sử dụng Casket Sonar: Roya Frostlands,C?n ti?ng Anh nghi v?n: Casket; Frostlands; Roya; Sonar | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Readable Electronic Work Log,Readable Electronic Work Log,C?n ti?ng Anh nghi v?n: Electronic; Log; Readable; Work | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Readable Electronic Work Log,Readable Electronic Work Log,C?n ti?ng Anh nghi v?n: Electronic; Log; Readable; Work | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Podcast Syntonization Chest,Pioneer Podcast Syntonization Chest,C?n ti?ng Anh nghi v?n: Chest; Pioneer; Podcast; Syntonization | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Forgery Medium Supply II,Forgery Medium Supply II,C?n ti?ng Anh nghi v?n: Forgery; II; Medium; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Forgery Advanced Supply II,Forgery Advanced Supply II,C?n ti?ng Anh nghi v?n: Advanced; Forgery; II; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Forgery Premium Supply II,Forgery Premium Supply II,C?n ti?ng Anh nghi v?n: Forgery; II; Premium; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Medium Enclosure Tank II,Medium Enclosure Tank II,C?n ti?ng Anh nghi v?n: Enclosure; II; Medium; Tank | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Advanced Enclosure Tank II,Advanced Enclosure Tank II,C?n ti?ng Anh nghi v?n: Advanced; Enclosure; II; Tank | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Premium Enclosure Tank II,Premium Enclosure Tank II,C?n ti?ng Anh nghi v?n: Enclosure; II; Premium; Tank | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Battlesong Collection II,Truthseeker's Battlesong Collection II,C?n ti?ng Anh nghi v?n: Battlesong; Collection; II; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Radiant Collection I,Truthseeker's Radiant Collection I,C?n ti?ng Anh nghi v?n: Collection; I; Radiant; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Radiant Collection II,Truthseeker's Radiant Collection II,C?n ti?ng Anh nghi v?n: Collection; II; Radiant; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Truthseeker's Radiant Collection III,Truthseeker's Radiant Collection III,C?n ti?ng Anh nghi v?n: Collection; III; Radiant; Truthseeker's | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
TARD-E's Monthly Aid,TARD-E's Monthly Aid,C?n ti?ng Anh nghi v?n: Aid; E's; Monthly; TARD | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Midnight Wonder Cup Noodles,Midnight Wonder Cup Noodles,C?n ti?ng Anh nghi v?n: Cup; Midnight; Noodles; Wonder | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Void Thunder & Molten Rift,Void Thunder & Molten Rift,C?n ti?ng Anh nghi v?n: Molten; Rift; Thunder; Void | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Molten Rift & Rejuvenating Glow,Molten Rift & Rejuvenating Glow,C?n ti?ng Anh nghi v?n: Glow; Molten; Rejuvenating; Rift | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Freezing Frost & Void Thunder,Freezing Frost & Void Thunder,C?n ti?ng Anh nghi v?n: Freezing; Frost; Thunder; Void | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Celestial Light & Lingering Tunes,Celestial Light & Lingering Tunes,C?n ti?ng Anh nghi v?n: Celestial; Light; Lingering; Tunes | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Empyrean Anthem & Midnight Veil,Empyrean Anthem & Midnight Veil,C?n ti?ng Anh nghi v?n: Anthem; Empyrean; Midnight; Veil | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pact of Neonlight Leap,Pact of Neonlight Leap,C?n ti?ng Anh nghi v?n: Leap; Neonlight; of; Pact | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Halo of Starry Radiance,Halo of Starry Radiance,C?n ti?ng Anh nghi v?n: Halo; of; Radiance; Starry | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rite of Gilded Revelation,Rite of Gilded Revelation,C?n ti?ng Anh nghi v?n: Gilded; of; Revelation; Rite | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Reunion's Sealed Tube Aid,Reunion's Sealed Tube Aid,C?n ti?ng Anh nghi v?n: Aid; Reunion's; Sealed; Tube | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Used to learn the crafting of Legend of Drunken Hero,Dùng để học chế tạo Legend of Drunken Hero,C?n ti?ng Anh nghi v?n: Drunken; Hero; Legend; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Used to learn the crafting of Legend of Drunken Hero,Dùng để học chế tạo Legend of Drunken Hero,C?n ti?ng Anh nghi v?n: Drunken; Hero; Legend; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Legend of Drunken Hero Crafting Recipe,Công thức chế tạo Legend of Drunken Hero,C?n ti?ng Anh nghi v?n: Drunken; Hero; Legend; of | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Quality Adventurer's Starter Pack,Quality Adventurer's Starter Pack,C?n ti?ng Anh nghi v?n: Adventurer's; Pack; Quality; Starter | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Podcast Supply Pack,Pioneer Podcast Supply Pack,C?n ti?ng Anh nghi v?n: Pack; Pioneer; Podcast; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Podcast Medium Supply Pack,Podcast Medium Supply Pack,C?n ti?ng Anh nghi v?n: Medium; Pack; Podcast; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Podcast Advanced Supply Pack,Podcast Advanced Supply Pack,C?n ti?ng Anh nghi v?n: Advanced; Pack; Podcast; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Podcast Premium Supply Pack,Podcast Premium Supply Pack,C?n ti?ng Anh nghi v?n: Pack; Podcast; Premium; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Association Medium Supply,Pioneer Association Medium Supply,C?n ti?ng Anh nghi v?n: Association; Medium; Pioneer; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Association Advanced Supply,Pioneer Association Advanced Supply,C?n ti?ng Anh nghi v?n: Advanced; Association; Pioneer; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Association Premium Supply,Pioneer Association Premium Supply,C?n ti?ng Anh nghi v?n: Association; Pioneer; Premium; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Pioneer Association Sigil Supply,Pioneer Association Sigil Supply,C?n ti?ng Anh nghi v?n: Association; Pioneer; Sigil; Supply | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Reunion's Shell Credit Aid,Reunion's Shell Credit Aid,C?n ti?ng Anh nghi v?n: Aid; Credit; Reunion's; Shell | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blake Bloom's Data Aid,Blake Bloom's Data Aid,C?n ti?ng Anh nghi v?n: Aid; Blake; Bloom's; Data | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Returnee's Shell Credit Aid,Returnee's Shell Credit Aid,C?n ti?ng Anh nghi v?n: Aid; Credit; Returnee's; Shell | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blake Bloom's Radiant Aid,Blake Bloom's Radiant Aid,C?n ti?ng Anh nghi v?n: Aid; Blake; Bloom's; Radiant | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Blake Bloom's Forging Aid,Blake Bloom's Forging Aid,C?n ti?ng Anh nghi v?n: Aid; Blake; Bloom's; Forging | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Lingo Collection - Part One""","""Lingo Collection - Part One""",C?n ti?ng Anh nghi v?n: Collection; Lingo; One; Part | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Seaside Arena Access Card,Seaside Arena Access Card,C?n ti?ng Anh nghi v?n: Access; Arena; Card; Seaside | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sound Emulator Repair Tool,Sound Emulator Repair Tool,C?n ti?ng Anh nghi v?n: Emulator; Repair; Sound; Tool | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sound Emulator Repair Tool,Sound Emulator Repair Tool,C?n ti?ng Anh nghi v?n: Emulator; Repair; Sound; Tool | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Triple-Scoop Ice Cream,Triple-Scoop Ice Cream,C?n ti?ng Anh nghi v?n: Cream; Ice; Scoop; Triple | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Every Flavor Bell Crab,Every Flavor Bell Crab,C?n ti?ng Anh nghi v?n: Bell; Crab; Every; Flavor | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wine-Brewed Octopus Clam,Wine-Brewed Octopus Clam,C?n ti?ng Anh nghi v?n: Brewed; Clam; Octopus; Wine | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Yuezhou Spicy Meat Noodles,Yuezhou Spicy Meat Noodles,C?n ti?ng Anh nghi v?n: Meat; Noodles; Spicy; Yuezhou | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Multi-Scoop Ice Cream,Multi-Scoop Ice Cream,C?n ti?ng Anh nghi v?n: Cream; Ice; Multi; Scoop | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rainbow Wonder Cup Noodles,Rainbow Wonder Cup Noodles,C?n ti?ng Anh nghi v?n: Cup; Noodles; Rainbow; Wonder | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
KU-Money's Personal Collection,KU-Money's Personal Collection,C?n ti?ng Anh nghi v?n: Collection; KU; Money's; Personal | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Ecological Survey 1,Dim Forest Ecological Survey 1,C?n ti?ng Anh nghi v?n: Dim; Ecological; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Ecological Survey 2,Dim Forest Ecological Survey 2,C?n ti?ng Anh nghi v?n: Dim; Ecological; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Ecological Survey 3,Dim Forest Ecological Survey 3,C?n ti?ng Anh nghi v?n: Dim; Ecological; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Dim Forest Ecological Survey 4,Dim Forest Ecological Survey 4,C?n ti?ng Anh nghi v?n: Dim; Ecological; Forest; Survey | S? t?/c?m nghi v?n: 4 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
