en_source,vn_translate,loi_du_doan
Nagetive Status Boost,Nagetive Status Boost,C?n ti?ng Anh nghi v?n: Boost; Nagetive; Status | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Where History Endures,Where History Endures,C?n ti?ng Anh nghi v?n: Endures; History; Where | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Defeat Fallacy of No Return 3 times,Đánh Bại Fallacy of Không Return 3 Lần,C?n ti?ng Anh nghi v?n: Fallacy; of; Return | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Tactical Hologram Test,Tactical Hologram Test,C?n ti?ng Anh nghi v?n: Hologram; Tactical; Test | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
First Clear Completed,First Clear Completed,C?n ti?ng Anh nghi v?n: Clear; Completed; First | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Before I Wither,Before I Wither,C?n ti?ng Anh nghi v?n: Before; I; Wither | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Where Wind Whispers,Where Wind Whispers,C?n ti?ng Anh nghi v?n: Where; Whispers; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Never-ending Night,Never-ending Night,C?n ti?ng Anh nghi v?n: ending; Never; Night | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Spring Returns,When Spring Returns,C?n ti?ng Anh nghi v?n: Returns; Spring; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
To Cat's Eye,To Cat's Eye,C?n ti?ng Anh nghi v?n: Cat's; Eye; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
When Spring Returns,When Spring Returns,C?n ti?ng Anh nghi v?n: Returns; Spring; When | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
To Cat's Eye,To Cat's Eye,C?n ti?ng Anh nghi v?n: Cat's; Eye; To | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Side Quest ""Trials of Old""","Hoàn thành Nhiệm Vụ Phụ ""Trials of Old""",C?n ti?ng Anh nghi v?n: of; Old; Trials | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Save As Preset,Save As Preset,C?n ti?ng Anh nghi v?n: As; Preset; Save | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Bell-less Crab,Bell-less Crab,C?n ti?ng Anh nghi v?n: Bell; Crab; less | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
First Entry Fame,First Entry Fame,C?n ti?ng Anh nghi v?n: Entry; Fame; First | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 4 Priority Requests,Finish 4 Priority Requests,C?n ti?ng Anh nghi v?n: Finish; Priority; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 8 Priority Requests,Finish 8 Priority Requests,C?n ti?ng Anh nghi v?n: Finish; Priority; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 12 Priority Requests,Finish 12 Priority Requests,C?n ti?ng Anh nghi v?n: Finish; Priority; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 1 Common Request,Finish 1 Common Request,C?n ti?ng Anh nghi v?n: Common; Finish; Request | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 5 Common Requests,Finish 5 Common Requests,C?n ti?ng Anh nghi v?n: Common; Finish; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Finish 10 Common Requests,Finish 10 Common Requests,C?n ti?ng Anh nghi v?n: Common; Finish; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete 1 Premium Request,Complete 1 Premium Request,C?n ti?ng Anh nghi v?n: Complete; Premium; Request | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete 2 Premium Requests,Complete 2 Premium Requests,C?n ti?ng Anh nghi v?n: Complete; Premium; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Complete 5 Premium Requests,Complete 5 Premium Requests,C?n ti?ng Anh nghi v?n: Complete; Premium; Requests | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Gotta Go Fast,Gotta Go Fast,C?n ti?ng Anh nghi v?n: Fast; Go; Gotta | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Frozen In Time,Frozen In Time,C?n ti?ng Anh nghi v?n: Frozen; In; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: IV,Aerial Attack: IV,C?n ti?ng Anh nghi v?n: Aerial; Attack; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: V,Aerial Attack: V,C?n ti?ng Anh nghi v?n: Aerial; Attack; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Full-Speed Mode,Full-Speed Mode,C?n ti?ng Anh nghi v?n: Full; Mode; Speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Knocked Out Count:,Knocked Out Count:,C?n ti?ng Anh nghi v?n: Count; Knocked; Out | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cluster Effect I,Cluster Effect I,C?n ti?ng Anh nghi v?n: Cluster; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cluster Effect II,Cluster Effect II,C?n ti?ng Anh nghi v?n: Cluster; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Cluster Effect III,Cluster Effect III,C?n ti?ng Anh nghi v?n: Cluster; Effect; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Delayed Effect I,Delayed Effect I,C?n ti?ng Anh nghi v?n: Delayed; Effect; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Delayed Effect II,Delayed Effect II,C?n ti?ng Anh nghi v?n: Delayed; Effect; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Done By Proxy,Done By Proxy,C?n ti?ng Anh nghi v?n: By; Done; Proxy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Replay Entire Story,Replay Entire Story,C?n ti?ng Anh nghi v?n: Entire; Replay; Story | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Wreck-it Cube,Wreck-it Cube,C?n ti?ng Anh nghi v?n: Cube; it; Wreck | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
I'm Down But Alive,I'm Down Nhưng Alive,C?n ti?ng Anh nghi v?n: Alive; Down; I'm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: I,Enemies Near: I,C?n ti?ng Anh nghi v?n: Enemies; I; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: II,Enemies Near: II,C?n ti?ng Anh nghi v?n: Enemies; II; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Card Frame,New Card Frame,C?n ti?ng Anh nghi v?n: Card; Frame; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
No New Feature Available,Không New Feature Available,C?n ti?ng Anh nghi v?n: Available; Feature; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
No New Feature Available,Không New Feature Available,C?n ti?ng Anh nghi v?n: Available; Feature; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
No New Feature Available,Không New Feature Available,C?n ti?ng Anh nghi v?n: Available; Feature; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
My Plan Code,My Plan Code,C?n ti?ng Anh nghi v?n: Code; My; Plan | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Afterlife and Beyond,Afterlife and Beyond,C?n ti?ng Anh nghi v?n: Afterlife; and; Beyond | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Total Defense Test,Total Defense Test,C?n ti?ng Anh nghi v?n: Defense; Test; Total | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device I,Old Device I,C?n ti?ng Anh nghi v?n: Device; I; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old Device II,Old Device II,C?n ti?ng Anh nghi v?n: Device; II; Old | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Show Basic Plan,Show Basic Plan,C?n ti?ng Anh nghi v?n: Basic; Plan; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Show Complete Plan,Show Complete Plan,C?n ti?ng Anh nghi v?n: Complete; Plan; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Not Yet Unlocked,Not Yet Unlocked,C?n ti?ng Anh nghi v?n: Not; Unlocked; Yet | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Humanity Has Declined,Humanity Has Declined,C?n ti?ng Anh nghi v?n: Declined; Has; Humanity | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Magnetism Before Light,Magnetism Before Light,C?n ti?ng Anh nghi v?n: Before; Light; Magnetism | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Weapon Ultimate Form,Weapon Ultimate Form,C?n ti?ng Anh nghi v?n: Form; Ultimate; Weapon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Weapon Form Evolved,Weapon Form Evolved,C?n ti?ng Anh nghi v?n: Evolved; Form; Weapon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Close-Range Morph,Close-Range Morph,C?n ti?ng Anh nghi v?n: Close; Morph; Range | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Kim Min Ju,Kim Min Ju,C?n ti?ng Anh nghi v?n: Ju; Kim; Min | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
I Have Monnaie,I Have Monnaie,C?n ti?ng Anh nghi v?n: Have; I; Monnaie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Good Reputation I,Good Reputation I,C?n ti?ng Anh nghi v?n: Good; I; Reputation | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Good Reputation II,Good Reputation II,C?n ti?ng Anh nghi v?n: Good; II; Reputation | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Good Reputation III,Good Reputation III,C?n ti?ng Anh nghi v?n: Good; III; Reputation | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Rice Dango Bonus,Rice Dango Bonus,C?n ti?ng Anh nghi v?n: Bonus; Dango; Rice | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Old-Style Scissors,Old-Style Scissors,C?n ti?ng Anh nghi v?n: Old; Scissors; Style | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Energy Recovery Rate,Energy Recovery Rate,C?n ti?ng Anh nghi v?n: Energy; Rate; Recovery | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Split-Second Mode,Split-Second Mode,C?n ti?ng Anh nghi v?n: Mode; Second; Split | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
A New Tomorrow,A New Tomorrow,C?n ti?ng Anh nghi v?n: A; New; Tomorrow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
This Path She Missed,This Path Cô ấy Missed,C?n ti?ng Anh nghi v?n: Missed; Path; This | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Skelecanth and Mouse,Skelecanth and Mouse,C?n ti?ng Anh nghi v?n: and; Mouse; Skelecanth | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Energy Consumption Rate,Energy Consumption Rate,C?n ti?ng Anh nghi v?n: Consumption; Energy; Rate | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Autopilot Mode Off,Autopilot Mode Off,C?n ti?ng Anh nghi v?n: Autopilot; Mode; Off | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Looped Autopilot Mode,Looped Autopilot Mode,C?n ti?ng Anh nghi v?n: Autopilot; Looped; Mode | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Time Draws Near,Time Draws Near,C?n ti?ng Anh nghi v?n: Draws; Near; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""A New Journey""","""A New Journey""",C?n ti?ng Anh nghi v?n: A; Journey; New | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Black and Gold,Black and Gold,C?n ti?ng Anh nghi v?n: and; Black; Gold | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"And Then, Another Step","And Vậy thì, Another Step",C?n ti?ng Anh nghi v?n: And; Another; Step | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Luuk Herssen,About Luuk Herssen,C?n ti?ng Anh nghi v?n: About; Herssen; Luuk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Luuk Herssen,About Luuk Herssen,C?n ti?ng Anh nghi v?n: About; Herssen; Luuk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack I,Aerial Attack I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Overloaded Energy Cube,Overloaded Energy Cube,C?n ti?ng Anh nghi v?n: Cube; Energy; Overloaded | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Energy Maintenance Tank,Energy Maintenance Tank,C?n ti?ng Anh nghi v?n: Energy; Maintenance; Tank | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Main Weapon Stats,Main Weapon Stats,C?n ti?ng Anh nghi v?n: Main; Stats; Weapon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Yearning For Roaming,Yearning For Roaming,C?n ti?ng Anh nghi v?n: For; Roaming; Yearning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Min Seung Woo,Min Seung Woo,C?n ti?ng Anh nghi v?n: Min; Seung; Woo | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Luuk Herssen,About Luuk Herssen,C?n ti?ng Anh nghi v?n: About; Herssen; Luuk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: IV,Aerial Attack: IV,C?n ti?ng Anh nghi v?n: Aerial; Attack; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: V,Aerial Attack: V,C?n ti?ng Anh nghi v?n: Aerial; Attack; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: VII,Aerial Attack: VII,C?n ti?ng Anh nghi v?n: Aerial; Attack; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: VIII,Aerial Attack: VIII,C?n ti?ng Anh nghi v?n: Aerial; Attack; VIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: IX,Aerial Attack: IX,C?n ti?ng Anh nghi v?n: Aerial; Attack; IX | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: I,Enemies Near: I,C?n ti?ng Anh nghi v?n: Enemies; I; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: II,Enemies Near: II,C?n ti?ng Anh nghi v?n: Enemies; II; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
About Luuk Herssen,About Luuk Herssen,C?n ti?ng Anh nghi v?n: About; Herssen; Luuk | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: IV,Aerial Attack: IV,C?n ti?ng Anh nghi v?n: Aerial; Attack; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Munchie Madness Mode,Munchie Madness Mode,C?n ti?ng Anh nghi v?n: Madness; Mode; Munchie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Batch Lock Confirmation,Batch Lock Confirmation,C?n ti?ng Anh nghi v?n: Batch; Confirmation; Lock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Batch Unlock Confirmation,Batch Unlock Confirmation,C?n ti?ng Anh nghi v?n: Batch; Confirmation; Unlock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sonata Effect Filter:,Sonata Effect Filter:,C?n ti?ng Anh nghi v?n: Effect; Filter; Sonata | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""Starlights from Yesterdays""","Hoàn thành Nhiệm Vụ Chính ""Starlights from Yesterdays""",C?n ti?ng Anh nghi v?n: from; Starlights; Yesterdays | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
I'm Fired Up,I'm Fired Up,C?n ti?ng Anh nghi v?n: Fired; I'm; Up | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Hear Once More,Hear Once More,C?n ti?ng Anh nghi v?n: Hear; More; Once | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Words Left Unsaid,Words Left Unsaid,C?n ti?ng Anh nghi v?n: Left; Unsaid; Words | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: I,Aerial Attack: I,C?n ti?ng Anh nghi v?n: Aerial; Attack; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: II,Aerial Attack: II,C?n ti?ng Anh nghi v?n: Aerial; Attack; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: III,Aerial Attack: III,C?n ti?ng Anh nghi v?n: Aerial; Attack; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: IV,Aerial Attack: IV,C?n ti?ng Anh nghi v?n: Aerial; Attack; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Aerial Attack: V,Aerial Attack: V,C?n ti?ng Anh nghi v?n: Aerial; Attack; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: I,Enemies Near: I,C?n ti?ng Anh nghi v?n: Enemies; I; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Enemies Near: II,Enemies Near: II,C?n ti?ng Anh nghi v?n: Enemies; II; Near | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Sweet Coffee Time,Sweet Coffee Time,C?n ti?ng Anh nghi v?n: Coffee; Sweet; Time | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Instance 4000 Exit Interaction,Instance 4000 Exit Interaction,C?n ti?ng Anh nghi v?n: Exit; Instance; Interaction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Instance 4500 Exit Interaction,Instance 4500 Exit Interaction,C?n ti?ng Anh nghi v?n: Exit; Instance; Interaction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Instance 5000 Exit Interaction,Instance 5000 Exit Interaction,C?n ti?ng Anh nghi v?n: Exit; Instance; Interaction | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Teleport-to-Gameplay GM does not exist,GM Teleport-to-Lối chơi không tồn tại,C?n ti?ng Anh nghi v?n: GM; Teleport; to | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Invalid Message Request,Invalid Message Request,C?n ti?ng Anh nghi v?n: Invalid; Message; Request | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Entry Unlocked,New Entry Unlocked,C?n ti?ng Anh nghi v?n: Entry; New; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Friend Request Sent,Friend Request Sent,C?n ti?ng Anh nghi v?n: Friend; Request; Sent | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Friend Request Expired,Friend Request Expired,C?n ti?ng Anh nghi v?n: Expired; Friend; Request | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Send Friend Request,Send Friend Request,C?n ti?ng Anh nghi v?n: Friend; Request; Send | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
New Rarity Unlocked,New Rarity Unlocked,C?n ti?ng Anh nghi v?n: New; Rarity; Unlocked | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
Friend Request Sent,Friend Request Sent,C?n ti?ng Anh nghi v?n: Friend; Request; Sent | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"Complete Main Quest ""Starlights from Yesterdays""","Hoàn thành Nhiệm vụ Chính ""Starlights from Yesterdays""",C?n ti?ng Anh nghi v?n: from; Starlights; Yesterdays | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
"""Bountiful Waves"" event","""Bountiful Waves"" event",C?n ti?ng Anh nghi v?n: Bountiful; event; Waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 22.0
