en_source,vn_translate,loi_du_doan
Immobilize Pilgrim's Shell: {挑战2统计}/1,Immobilize Pilgrim's Shell: {挑战2统计}/1,C?n ti?ng Anh nghi v?n: Immobilize; Pilgrim's; Shell | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 1</b>,<b>Sumika's Notes - Entry 1</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 7</b>,<b>Sumika's Notes - Entry 7</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 136</b>,<b>Sumika's Notes - Entry 136</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 159</b>,<b>Sumika's Notes - Entry 159</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 160</b>,<b>Sumika's Notes - Entry 160</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 161</b>,<b>Sumika's Notes - Entry 161</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Sumika's Notes - Entry 162</b>,<b>Sumika's Notes - Entry 162</b>,C?n ti?ng Anh nghi v?n: Entry; Notes; Sumika's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Living Quarters Memo,Living Quarters Memo,C?n ti?ng Anh nghi v?n: Living; Memo; Quarters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sticker on Dartboard,Sticker on Dartboard,C?n ti?ng Anh nghi v?n: Dartboard; on; Sticker | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Titular Repository Memoir,Titular Repository Memoir,C?n ti?ng Anh nghi v?n: Memoir; Repository; Titular | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Nameless Girl: Augusta,Nameless Girl: Augusta,C?n ti?ng Anh nghi v?n: Augusta; Girl; Nameless | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Trainee Gladiator: Augusta,Trainee Gladiator: Augusta,C?n ti?ng Anh nghi v?n: Augusta; Gladiator; Trainee | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fearless Trialbearer: Augusta,Fearless Trialbearer: Augusta,C?n ti?ng Anh nghi v?n: Augusta; Fearless; Trialbearer | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chronorift Metropolis Chapter II,Chronorift Metropolis Chương II,C?n ti?ng Anh nghi v?n: Chronorift; II; Metropolis | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chronorift Metropolis Chapter II,Chronorift Metropolis Chương II,C?n ti?ng Anh nghi v?n: Chronorift; II; Metropolis | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Leonidas Hotel Suite,Leonidas Hotel Suite,C?n ti?ng Anh nghi v?n: Hotel; Leonidas; Suite | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Denia's Birthday Schedule,Denia's Birthday Schedule,C?n ti?ng Anh nghi v?n: Birthday; Denia's; Schedule | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Happy Little Family,Happy Little Family,C?n ti?ng Anh nghi v?n: Family; Happy; Little | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
<b>Lab Safety Fundamentals</b>,<b>Lab Safety Fundamentals</b>,C?n ti?ng Anh nghi v?n: Fundamentals; Lab; Safety | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
At Startorch Academy,At Startorch Academy,C?n ti?ng Anh nghi v?n: Academy; At; Startorch | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
In Lynae's room,In Lynae's room,C?n ti?ng Anh nghi v?n: In; Lynae's; room | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Thousand Island Aftertune,Thousand Island Aftertune,C?n ti?ng Anh nghi v?n: Aftertune; Island; Thousand | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight I,Capturing Starlight I,C?n ti?ng Anh nghi v?n: Capturing; I; Starlight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight II,Capturing Starlight II,C?n ti?ng Anh nghi v?n: Capturing; II; Starlight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight III,Capturing Starlight III,C?n ti?ng Anh nghi v?n: Capturing; III; Starlight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight IV,Capturing Starlight IV,C?n ti?ng Anh nghi v?n: Capturing; IV; Starlight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight V,Capturing Starlight V,C?n ti?ng Anh nghi v?n: Capturing; Starlight; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight VII,Capturing Starlight VII,C?n ti?ng Anh nghi v?n: Capturing; Starlight; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight VIII,Capturing Starlight VIII,C?n ti?ng Anh nghi v?n: Capturing; Starlight; VIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capturing Starlight IX,Capturing Starlight IX,C?n ti?ng Anh nghi v?n: Capturing; IX; Starlight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter II Act VII,Chương II Act VII,C?n ti?ng Anh nghi v?n: Act; II; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter II Act VIII,Chương II Act VIII,C?n ti?ng Anh nghi v?n: Act; II; VIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter II Act XII,Chương II Act XII,C?n ti?ng Anh nghi v?n: Act; II; XII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter III Act I,Chương III Act I,C?n ti?ng Anh nghi v?n: Act; I; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Rupture Response,Tune Rupture Response,C?n ti?ng Anh nghi v?n: Response; Rupture; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Break Boost,Tune Break Boost,C?n ti?ng Anh nghi v?n: Boost; Break; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Steward's Supply Station,Steward's Supply Station,C?n ti?ng Anh nghi v?n: Station; Steward's; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Brightness successfully adjusted,Brightness successfully adjusted,C?n ti?ng Anh nghi v?n: adjusted; Brightness; successfully | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Spend 500 Premium Tuners,Spend 500 Premium Tuners,C?n ti?ng Anh nghi v?n: Premium; Spend; Tuners | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
STRANGE HUMANOID CREATURE,STRANGE HUMANOID CREATURE,C?n ti?ng Anh nghi v?n: CREATURE; HUMANOID; STRANGE | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mirrors of Clarity,Mirrors of Clarity,C?n ti?ng Anh nghi v?n: Clarity; Mirrors; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Global Pre-registration,Global Pre-registration,C?n ti?ng Anh nghi v?n: Global; Pre; registration | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Cube, Cubic n Cubie","Cube, Cubic và Cubie",C?n ti?ng Anh nghi v?n: Cube; Cubic; Cubie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sound of Tides,Sound of Tides,C?n ti?ng Anh nghi v?n: of; Sound; Tides | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Cube, Cubic n Cubie","Cube, Cubic và Cubie",C?n ti?ng Anh nghi v?n: Cube; Cubic; Cubie | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Twilight of Tomorrow,Twilight of Tomorrow,C?n ti?ng Anh nghi v?n: of; Tomorrow; Twilight | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dawn Within Amber,Dawn Within Amber,C?n ti?ng Anh nghi v?n: Amber; Dawn; Within | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sigil: Peach Blossom,Sigil: Peach Blossom,C?n ti?ng Anh nghi v?n: Blossom; Peach; Sigil | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Waves of Flavor,Waves of Flavor,C?n ti?ng Anh nghi v?n: Flavor; of; Waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Favor of Stars,Favor of Stars,C?n ti?ng Anh nghi v?n: Favor; of; Stars | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Selling illegal software,Selling illegal software,C?n ti?ng Anh nghi v?n: illegal; Selling; software | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Convene 40 times in total,Triệu Tập 40 times in total,C?n ti?ng Anh nghi v?n: in; times; total | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Crownless,Tactical Hologram: Crownless,C?n ti?ng Anh nghi v?n: Crownless; Hologram; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Synchronization,Tactical Hologram: Synchronization,C?n ti?ng Anh nghi v?n: Hologram; Synchronization; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Invalid redemption code,Invalid redemption code,C?n ti?ng Anh nghi v?n: code; Invalid; redemption | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gain double rewards,Gain double rewards,C?n ti?ng Anh nghi v?n: double; Gain; rewards | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Speed Boost II,Speed Boost II,C?n ti?ng Anh nghi v?n: Boost; II; Speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Speed Boost I,Speed Boost I,C?n ti?ng Anh nghi v?n: Boost; I; Speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Speed Boost I,Speed Boost I,C?n ti?ng Anh nghi v?n: Boost; I; Speed | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Pokey Moray,Catch Pokey Moray,C?n ti?ng Anh nghi v?n: Catch; Moray; Pokey | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Astrite Crab,Catch Astrite Crab,C?n ti?ng Anh nghi v?n: Astrite; Catch; Crab | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Rainbow Dolphinfish,Catch Rainbow Dolphinfish,C?n ti?ng Anh nghi v?n: Catch; Dolphinfish; Rainbow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Aureo Shark,Catch Aureo Shark,C?n ti?ng Anh nghi v?n: Aureo; Catch; Shark | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Draco Cobia,Catch Draco Cobia,C?n ti?ng Anh nghi v?n: Catch; Cobia; Draco | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Gooberstar Mutant,Catch Gooberstar Mutant,C?n ti?ng Anh nghi v?n: Catch; Gooberstar; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Catch Reinfish Mutant,Catch Reinfish Mutant,C?n ti?ng Anh nghi v?n: Catch; Mutant; Reinfish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gulp of Blob,Gulp of Blob,C?n ti?ng Anh nghi v?n: Blob; Gulp; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Capitoline Hill City,Capitoline Hill City,C?n ti?ng Anh nghi v?n: Capitoline; City; Hill | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Ashen Dragon's Crypt,Ashen Dragon's Crypt,C?n ti?ng Anh nghi v?n: Ashen; Crypt; Dragon's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Realm of Melodies,Realm of Melodies,C?n ti?ng Anh nghi v?n: Melodies; of; Realm | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Calamity,Tactical Hologram: Calamity,C?n ti?ng Anh nghi v?n: Calamity; Hologram; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tactical Hologram: Synchronization,Tactical Hologram: Synchronization,C?n ti?ng Anh nghi v?n: Hologram; Synchronization; Tactical | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unknown Ability: Unbound,Unknown Ability: Unbound,C?n ti?ng Anh nghi v?n: Ability; Unbound; Unknown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unknown Ability: Halo,Unknown Ability: Halo,C?n ti?ng Anh nghi v?n: Ability; Halo; Unknown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unknown Ability: Swiftbreak,Unknown Ability: Swiftbreak,C?n ti?ng Anh nghi v?n: Ability; Swiftbreak; Unknown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Unknown Ability: Smash,Unknown Ability: Smash,C?n ti?ng Anh nghi v?n: Ability; Smash; Unknown | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Acropolis Documentarian I,Acropolis Documentarian I,C?n ti?ng Anh nghi v?n: Acropolis; Documentarian; I | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Acropolis Documentarian II,Acropolis Documentarian II,C?n ti?ng Anh nghi v?n: Acropolis; Documentarian; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Acropolis Documentarian III,Acropolis Documentarian III,C?n ti?ng Anh nghi v?n: Acropolis; Documentarian; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Acropolis Documentarian IV,Acropolis Documentarian IV,C?n ti?ng Anh nghi v?n: Acropolis; Documentarian; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Acropolis Documentarian V,Acropolis Documentarian V,C?n ti?ng Anh nghi v?n: Acropolis; Documentarian; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue I,Memory Travelogue I,C?n ti?ng Anh nghi v?n: I; Memory; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue II,Memory Travelogue II,C?n ti?ng Anh nghi v?n: II; Memory; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue III,Memory Travelogue III,C?n ti?ng Anh nghi v?n: III; Memory; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue IV,Memory Travelogue IV,C?n ti?ng Anh nghi v?n: IV; Memory; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue V,Memory Travelogue V,C?n ti?ng Anh nghi v?n: Memory; Travelogue; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue VII,Memory Travelogue VII,C?n ti?ng Anh nghi v?n: Memory; Travelogue; VII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue VIII,Memory Travelogue VIII,C?n ti?ng Anh nghi v?n: Memory; Travelogue; VIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue IX,Memory Travelogue IX,C?n ti?ng Anh nghi v?n: IX; Memory; Travelogue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue X,Memory Travelogue X,C?n ti?ng Anh nghi v?n: Memory; Travelogue; X | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue XI,Memory Travelogue XI,C?n ti?ng Anh nghi v?n: Memory; Travelogue; XI | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue XII,Memory Travelogue XII,C?n ti?ng Anh nghi v?n: Memory; Travelogue; XII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Memory Travelogue XIII,Memory Travelogue XIII,C?n ti?ng Anh nghi v?n: Memory; Travelogue; XIII | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: II,Idle Animation: II,C?n ti?ng Anh nghi v?n: Animation; Idle; II | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: III,Idle Animation: III,C?n ti?ng Anh nghi v?n: Animation; Idle; III | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter II Act IV,Chương II Act IV,C?n ti?ng Anh nghi v?n: Act; II; IV | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Chapter II Act V,Chương II Act V,C?n ti?ng Anh nghi v?n: Act; II; V | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Short-Term Financing,Short-Term Financing,C?n ti?ng Anh nghi v?n: Financing; Short; Term | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Please complete Exploration Quest ""Into the Land of Paradox"" first","Hãy hoàn thành Nhiệm Vụ Exploration ""Vào Land Paradox"" trước đã.",C?n ti?ng Anh nghi v?n: Exploration; Land; Paradox | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Rupture - Shifting,Tune Rupture - Shifting,C?n ti?ng Anh nghi v?n: Rupture; Shifting; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Strain - Shifting,Tune Strain - Shifting,C?n ti?ng Anh nghi v?n: Shifting; Strain; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Rupture - Interfered,Tune Rupture - Interfered,C?n ti?ng Anh nghi v?n: Interfered; Rupture; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Tune Strain - Interfered,Tune Strain - Interfered,C?n ti?ng Anh nghi v?n: Interfered; Strain; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
High Syntony Field,High Syntony Field,C?n ti?ng Anh nghi v?n: Field; High; Syntony | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Crown of Wills,Crown of Wills,C?n ti?ng Anh nghi v?n: Crown; of; Wills | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Inksplash of Mind,Inksplash of Mind,C?n ti?ng Anh nghi v?n: Inksplash; Mind; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Thread of Bane,Thread of Bane,C?n ti?ng Anh nghi v?n: Bane; of; Thread | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Woven Myriad - Convergence,Woven Myriad - Convergence,C?n ti?ng Anh nghi v?n: Convergence; Myriad; Woven | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Optical Sampling Stage,Optical Sampling Stage,C?n ti?ng Anh nghi v?n: Optical; Sampling; Stage | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Burst - Blazing Pillar,Burst - Blazing Pillar,C?n ti?ng Anh nghi v?n: Blazing; Burst; Pillar | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Burst - Scorching Impact,Burst - Scorching Impact,C?n ti?ng Anh nghi v?n: Burst; Impact; Scorching | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boost - Namipon Aid,Boost - Namipon Aid,C?n ti?ng Anh nghi v?n: Aid; Boost; Namipon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combo - Support Missile: Enhanced,Combo - Hỗ Trợ Missile: Enhanced,C?n ti?ng Anh nghi v?n: Combo; Enhanced; Missile | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boost - Dessert Prep,Boost - Dessert Prep,C?n ti?ng Anh nghi v?n: Boost; Dessert; Prep | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Combo - Dessert Strike,Combo - Dessert Strike,C?n ti?ng Anh nghi v?n: Combo; Dessert; Strike | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Burst - Coffee Impact,Burst - Coffee Impact,C?n ti?ng Anh nghi v?n: Burst; Coffee; Impact | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Boost - Coffee's Shelter,Boost - Coffee's Shelter,C?n ti?ng Anh nghi v?n: Boost; Coffee's; Shelter | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Burst - Shock Impact,Burst - Shock Impact,C?n ti?ng Anh nghi v?n: Burst; Impact; Shock | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Idle Animation: I,Idle Animation: I,C?n ti?ng Anh nghi v?n: Animation; I; Idle | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
