en_source,vn_translate,loi_du_doan
A Whispering Melody,A Whispering Melody,C?n ti?ng Anh nghi v?n: A; Melody; Whispering | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
",C?n ti?ng Anh nghi v?n: Data; Recording; Summary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Sabyr Boar Ride,Sabyr Boar Ride,C?n ti?ng Anh nghi v?n: Boar; Ride; Sabyr | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Spicy Grass Cake,Spicy Grass Cake,C?n ti?ng Anh nghi v?n: Cake; Grass; Spicy | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wings of Bane,Wings of Bane,C?n ti?ng Anh nghi v?n: Bane; of; Wings | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Harbinger of War,Harbinger of War,C?n ti?ng Anh nghi v?n: Harbinger; of; War | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Kim Ha Ru,Kim Ha Ru,C?n ti?ng Anh nghi v?n: Ha; Kim; Ru | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shin-Fei Chen,Shin-Fei Chen,C?n ti?ng Anh nghi v?n: Chen; Fei; Shin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Jung Eui Jin,Jung Eui Jin,C?n ti?ng Anh nghi v?n: Eui; Jin; Jung | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Xiangli Yao's Hobby,Xiangli Yao's Hobby,C?n ti?ng Anh nghi v?n: Hobby; Xiangli; Yao's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Xiangli Yao's Trouble,Xiangli Yao's Trouble,C?n ti?ng Anh nghi v?n: Trouble; Xiangli; Yao's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Spectrum of Extremity,Spectrum of Extremity,C?n ti?ng Anh nghi v?n: Extremity; of; Spectrum | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Spectrum of Assertion,Spectrum of Assertion,C?n ti?ng Anh nghi v?n: Assertion; of; Spectrum | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Off-Tune Enhancement,Off-Tune Enhancement,C?n ti?ng Anh nghi v?n: Enhancement; Off; Tune | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Dream Fragments,Insufficient Dream Fragments,C?n ti?ng Anh nghi v?n: Dream; Fragments; Insufficient | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Early Access Available,Early Access Available,C?n ti?ng Anh nghi v?n: Access; Available; Early | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Surface,Black Shores: Surface,C?n ti?ng Anh nghi v?n: Black; Shores; Surface | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Archipelago,Black Shores: Archipelago,C?n ti?ng Anh nghi v?n: Archipelago; Black; Shores | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Black Shores: Underground,Black Shores: Underground,C?n ti?ng Anh nghi v?n: Black; Shores; Underground | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Talons of Delirium,Đánh bại Talons of Delirium,C?n ti?ng Anh nghi v?n: Delirium; of; Talons | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Tongue of Insatiability,Đánh bại Tongue of Insatiability,C?n ti?ng Anh nghi v?n: Insatiability; of; Tongue | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Eyes of Resentment,Đánh bại Eyes of Resentment,C?n ti?ng Anh nghi v?n: Eyes; of; Resentment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Fangs of Cruelty,Đánh bại Fangs of Cruelty,C?n ti?ng Anh nghi v?n: Cruelty; Fangs; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Face of Lust,Đánh bại Face of Lust,C?n ti?ng Anh nghi v?n: Face; Lust; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Wings of Exhaustion,Đánh bại Wings of Exhaustion,C?n ti?ng Anh nghi v?n: Exhaustion; of; Wings | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat the Spear of Transgression,Đánh bại Spear of Transgression,C?n ti?ng Anh nghi v?n: of; Spear; Transgression | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat Eye of Ignorance,Đánh bại Eye of Ignorance,C?n ti?ng Anh nghi v?n: Eye; Ignorance; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defeat Claws of Regret,Đánh bại Claws of Regret,C?n ti?ng Anh nghi v?n: Claws; of; Regret | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rush Hour Train,Rush Hour Train,C?n ti?ng Anh nghi v?n: Hour; Rush; Train | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream-Waking Alarm,Dream-Waking Alarm,C?n ti?ng Anh nghi v?n: Alarm; Dream; Waking | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Shattered Dim Star,Shattered Dim Star,C?n ti?ng Anh nghi v?n: Dim; Shattered; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
An Ice Mask,An Ice Mask,C?n ti?ng Anh nghi v?n: An; Ice; Mask | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Park Si Yoon,Park Si Yoon,C?n ti?ng Anh nghi v?n: Park; Si; Yoon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Street Antique Appraisal,Street Antique Appraisal,C?n ti?ng Anh nghi v?n: Antique; Appraisal; Street | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Returned Treasure,A Returned Treasure,C?n ti?ng Anh nghi v?n: A; Returned; Treasure | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bank of Life: Floor 1,Bank of Life: Tầng 1,C?n ti?ng Anh nghi v?n: Bank; Life; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bank of Life: Floor 2,Bank of Life: Tầng 2,C?n ti?ng Anh nghi v?n: Bank; Life; of | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Insufficient Adventure Logs,Insufficient Adventure Logs,C?n ti?ng Anh nghi v?n: Adventure; Insufficient; Logs | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Yu Hye Ji,Yu Hye Ji,C?n ti?ng Anh nghi v?n: Hye; Ji; Yu | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Jeong Hae Eun,Jeong Hae Eun,C?n ti?ng Anh nghi v?n: Eun; Hae; Jeong | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Fleeting Moment,A Fleeting Moment,C?n ti?ng Anh nghi v?n: A; Fleeting; Moment | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Early Access Available,Early Access Available,C?n ti?ng Anh nghi v?n: Access; Available; Early | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Vast Lush Grounds,Vast Lush Grounds,C?n ti?ng Anh nghi v?n: Grounds; Lush; Vast | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rowing Towards Firmament,Rowing Towards Firmament,C?n ti?ng Anh nghi v?n: Firmament; Rowing; Towards | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Glance Backward,A Glance Backward,C?n ti?ng Anh nghi v?n: A; Backward; Glance | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Wind-kissed Haven,Wind-kissed Haven,C?n ti?ng Anh nghi v?n: Haven; kissed; Wind | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Waves Sing Goodnight,Waves Sing Goodnight,C?n ti?ng Anh nghi v?n: Goodnight; Sing; Waves | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dancing Through Fantasies,Dancing Through Fantasies,C?n ti?ng Anh nghi v?n: Dancing; Fantasies; Through | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Fairy Tale,A Fairy Tale,C?n ti?ng Anh nghi v?n: A; Fairy; Tale | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
By Moon's Grace,By Moon's Grace,C?n ti?ng Anh nghi v?n: By; Grace; Moon's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
A Million Possibilities,A Million Possibilities,C?n ti?ng Anh nghi v?n: A; Million; Possibilities | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Grand Feast Daydream,Grand Feast Daydream,C?n ti?ng Anh nghi v?n: Daydream; Feast; Grand | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mourning Aix's Dance,Mourning Aix's Dance,C?n ti?ng Anh nghi v?n: Aix's; Dance; Mourning | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Bell-Bearer's Duty,Bell-Bearer's Duty,C?n ti?ng Anh nghi v?n: Bearer's; Bell; Duty | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Show Custom Marker,Show Custom Marker,C?n ti?ng Anh nghi v?n: Custom; Marker; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Show Completed Challenges,Show Completed Challenges,C?n ti?ng Anh nghi v?n: Challenges; Completed; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Post-Doomsday Coffee,Post-Doomsday Coffee,C?n ti?ng Anh nghi v?n: Coffee; Doomsday; Post | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"Come On, Smile","Come On, Smile",C?n ti?ng Anh nghi v?n: Come; On; Smile | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Head to the Fool's Elysium and practice dancing with Carlotta,Đến Fool's Elysium Và Luyện Khiêu Vũ Với Carlotta,C?n ti?ng Anh nghi v?n: Carlotta; Elysium; Fool's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Troupe of Fools,Troupe of Fools,C?n ti?ng Anh nghi v?n: Fools; of; Troupe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Kim Soon Mi,Kim Soon Mi,C?n ti?ng Anh nghi v?n: Kim; Mi; Soon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Portable Confetti Pistol,Portable Confetti Pistol,C?n ti?ng Anh nghi v?n: Confetti; Pistol; Portable | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Pero's Peculiar Box,Pero's Peculiar Box,C?n ti?ng Anh nghi v?n: Box; Peculiar; Pero's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Luceanite Prop Set,Luceanite Prop Set,C?n ti?ng Anh nghi v?n: Luceanite; Prop; Set | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: I,Supply Chest: I,C?n ti?ng Anh nghi v?n: Chest; I; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: II,Supply Chest: II,C?n ti?ng Anh nghi v?n: Chest; II; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Supply Chest: III,Supply Chest: III,C?n ti?ng Anh nghi v?n: Chest; III; Supply | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lonely SOL-3: Hongzhen Hot Springs Special Edition I,SOL-3 Cô Đơn: Ấn Phẩm Đặc Biệt Suối Nước Nóng Hongzhen I,C?n ti?ng Anh nghi v?n: Hongzhen; I; SOL | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lonely SOL-3: Hongzhen Hot Springs Special Edition II,SOL-3 Cô Đơn: Ấn Phẩm Đặc Biệt Suối Nước Nóng Hongzhen II,C?n ti?ng Anh nghi v?n: Hongzhen; II; SOL | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defendant's Witness I,Defendant's Witness I,C?n ti?ng Anh nghi v?n: Defendant's; I; Witness | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Defendant's Witness II,Defendant's Witness II,C?n ti?ng Anh nghi v?n: Defendant's; II; Witness | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dream Patrol: Nightmare,Dream Patrol: Nightmare,C?n ti?ng Anh nghi v?n: Dream; Nightmare; Patrol | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Riccioli Black Pearl,Riccioli Black Pearl,C?n ti?ng Anh nghi v?n: Black; Pearl; Riccioli | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Palm Tree Log,Palm Tree Log,C?n ti?ng Anh nghi v?n: Log; Palm; Tree | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Fried Egg Jellyfish,Fried Egg Jellyfish,C?n ti?ng Anh nghi v?n: Egg; Fried; Jellyfish | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dead Man's Eye,Dead Man's Eye,C?n ti?ng Anh nghi v?n: Dead; Eye; Man's | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Coconut Urchin,Mutant: Coconut Urchin,C?n ti?ng Anh nghi v?n: Coconut; Mutant; Urchin | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Octopus Clam,Mutant: Octopus Clam,C?n ti?ng Anh nghi v?n: Clam; Mutant; Octopus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Leafy Seadragon,Mutant: Leafy Seadragon,C?n ti?ng Anh nghi v?n: Leafy; Mutant; Seadragon | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Yarn Eel,Mutant: Yarn Eel,C?n ti?ng Anh nghi v?n: Eel; Mutant; Yarn | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Dumbo Octopus,Mutant: Dumbo Octopus,C?n ti?ng Anh nghi v?n: Dumbo; Mutant; Octopus | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Giant Gulper,Mutant: Giant Gulper,C?n ti?ng Anh nghi v?n: Giant; Gulper; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Sob Blob,Mutant: Sob Blob,C?n ti?ng Anh nghi v?n: Blob; Mutant; Sob | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Pokey Moray,Mutant: Pokey Moray,C?n ti?ng Anh nghi v?n: Moray; Mutant; Pokey | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Feather Star,Mutant: Feather Star,C?n ti?ng Anh nghi v?n: Feather; Mutant; Star | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Stygian Phantom,Mutant: Stygian Phantom,C?n ti?ng Anh nghi v?n: Mutant; Phantom; Stygian | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Seabed Snow,Mutant: Seabed Snow,C?n ti?ng Anh nghi v?n: Mutant; Seabed; Snow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Trapper Anglerfish,Mutant: Trapper Anglerfish,C?n ti?ng Anh nghi v?n: Anglerfish; Mutant; Trapper | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Titanium Mackerel,Mutant: Titanium Mackerel,C?n ti?ng Anh nghi v?n: Mackerel; Mutant; Titanium | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Bubble Snail,Mutant: Bubble Snail,C?n ti?ng Anh nghi v?n: Bubble; Mutant; Snail | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Legilimens Shrimp,Mutant: Legilimens Shrimp,C?n ti?ng Anh nghi v?n: Legilimens; Mutant; Shrimp | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Astrite Crab,Mutant: Astrite Crab,C?n ti?ng Anh nghi v?n: Astrite; Crab; Mutant | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Tripod Fish,Mutant: Tripod Fish,C?n ti?ng Anh nghi v?n: Fish; Mutant; Tripod | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Rainbow Dolphinfish,Mutant: Rainbow Dolphinfish,C?n ti?ng Anh nghi v?n: Dolphinfish; Mutant; Rainbow | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Mutant: Trombone Ammonoid,Mutant: Trombone Ammonoid,C?n ti?ng Anh nghi v?n: Ammonoid; Mutant; Trombone | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Gondola Spur Training,Gondola Spur Training,C?n ti?ng Anh nghi v?n: Gondola; Spur; Training | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Four-Wheel Capstan,Four-Wheel Capstan,C?n ti?ng Anh nghi v?n: Capstan; Four; Wheel | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Rigid Fishing Device,Rigid Fishing Device,C?n ti?ng Anh nghi v?n: Device; Fishing; Rigid | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
"""Sweet Puff"" Tube","""Sweet Puff"" Tube",C?n ti?ng Anh nghi v?n: Puff; Sweet; Tube | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Riccioli Islands Biology,Riccioli Islands Biology,C?n ti?ng Anh nghi v?n: Biology; Islands; Riccioli | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Show Recorded Entries,Show Recorded Entries,C?n ti?ng Anh nghi v?n: Entries; Recorded; Show | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Respawning Waters: Chasm,Respawning Waters: Chasm,C?n ti?ng Anh nghi v?n: Chasm; Respawning; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Respawning Waters: Torrents,Respawning Waters: Torrents,C?n ti?ng Anh nghi v?n: Respawning; Torrents; Waters | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Quick Sale Request,Quick Sale Request,C?n ti?ng Anh nghi v?n: Quick; Request; Sale | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Key Fishing Ability,Key Fishing Ability,C?n ti?ng Anh nghi v?n: Ability; Fishing; Key | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Primary Fishing Ability,Primary Fishing Ability,C?n ti?ng Anh nghi v?n: Ability; Fishing; Primary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Secondary Fishing Ability,Secondary Fishing Ability,C?n ti?ng Anh nghi v?n: Ability; Fishing; Secondary | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Required Nodes Locked,Required Nodes Locked,C?n ti?ng Anh nghi v?n: Locked; Nodes; Required | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phoebe learns 1 Fishing Ability,Phoebe học được 1 Fishing Ability,C?n ti?ng Anh nghi v?n: Ability; Fishing; Phoebe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Phoebe learns all Fishing Abilities,Phoebe học được tất cả Fishing Abilities,C?n ti?ng Anh nghi v?n: Abilities; Fishing; Phoebe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Dispel 1 Ghost Medusa,Dispel 1 Ghost Medusa,C?n ti?ng Anh nghi v?n: Dispel; Ghost; Medusa | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Atrium of Reflections,Atrium of Reflections,C?n ti?ng Anh nghi v?n: Atrium; of; Reflections | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Silver Moon Grove,Silver Moon Grove,C?n ti?ng Anh nghi v?n: Grove; Moon; Silver | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Course Completion Points,Course Completion Points,C?n ti?ng Anh nghi v?n: Completion; Course; Points | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Troupe of Fools,Troupe of Fools,C?n ti?ng Anh nghi v?n: Fools; of; Troupe | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Lee Ju Seung,Lee Ju Seung,C?n ti?ng Anh nghi v?n: Ju; Lee; Seung | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
Within Distant Brilliance,Within Distant Brilliance,C?n ti?ng Anh nghi v?n: Brilliance; Distant; Within | S? t?/c?m nghi v?n: 3 | T? l? nghi v?n: 1.0 | M?c ??: 19.0
