en_source,vn_translate,loi_du_doan
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Check,Check,C?n ti?ng Anh nghi v?n: Check | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Check,Check,C?n ti?ng Anh nghi v?n: Check | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Check,Check,C?n ti?ng Anh nghi v?n: Check | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Check,Check,C?n ti?ng Anh nghi v?n: Check | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Optional) Check the operating table,(Tùy chọn) Check bàn phẫu thuật,C?n ti?ng Anh nghi v?n: Check | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Drag Chest Mimic to Transform Area,Kéo Rương Giả Hình Rồng để Biến đổi Area,C?n ti?ng Anh nghi v?n: Area | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Drag Chest Mimic to Transform Area,Kéo Rương Giả Hình Rồng để Biến đổi Area,C?n ti?ng Anh nghi v?n: Area | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Drag Domain to Transform Area,Kéo Lãnh Địa để Biến đổi Area,C?n ti?ng Anh nghi v?n: Area | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete,Complete,C?n ti?ng Anh nghi v?n: Complete | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete,Complete,C?n ti?ng Anh nghi v?n: Complete | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Start Route Constructor Racing Challenge,Bắt Đầu Challenge Đua Xây Dựng Tuyến Đường,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Group Photo Under the New Sun,Bức Chụp ảnh Nhóm Dưới Ánh Mặt Trời New,C?n ti?ng Anh nghi v?n: New | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Group Photo Under the New Sun,Bức Chụp ảnh Nhóm Dưới Ánh Mặt Trời New,C?n ti?ng Anh nghi v?n: New | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
THEN,THEN,C?n ti?ng Anh nghi v?n: THEN | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
BUT,BUT,C?n ti?ng Anh nghi v?n: BUT | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
OR,OR,C?n ti?ng Anh nghi v?n: OR | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
AND,AND,C?n ti?ng Anh nghi v?n: AND | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enemies,Enemies,C?n ti?ng Anh nghi v?n: Enemies | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
BACK,BACK,C?n ti?ng Anh nghi v?n: BACK | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
LEFT,LEFT,C?n ti?ng Anh nghi v?n: LEFT | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
RIGHT,RIGHT,C?n ti?ng Anh nghi v?n: RIGHT | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
HERE,HERE,C?n ti?ng Anh nghi v?n: HERE | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
A Night to Remember,Night Đáng Nhớ,C?n ti?ng Anh nghi v?n: Night | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello,Hello,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Drag away,Kéo away,C?n ti?ng Anh nghi v?n: away | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Okay,Okay,C?n ti?ng Anh nghi v?n: Okay | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
What,What,C?n ti?ng Anh nghi v?n: What | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hit,Hit,C?n ti?ng Anh nghi v?n: Hit | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
What,What,C?n ti?ng Anh nghi v?n: What | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Get,Get,C?n ti?ng Anh nghi v?n: Get | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hi,Hi,C?n ti?ng Anh nghi v?n: Hi | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello,Hello,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Please,Please,C?n ti?ng Anh nghi v?n: Please | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hit,Hit,C?n ti?ng Anh nghi v?n: Hit | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Weapon,Weapon,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Night Legend: Call of the Overlord,Huyền Thoại Night: Tiếng Gọi Của Chúa Tể,C?n ti?ng Anh nghi v?n: Night | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Return,Return,C?n ti?ng Anh nghi v?n: Return | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Switch,Switch,C?n ti?ng Anh nghi v?n: Switch | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Increase,Increase,C?n ti?ng Anh nghi v?n: Increase | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lock,Lock,C?n ti?ng Anh nghi v?n: Lock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Max,Max,C?n ti?ng Anh nghi v?n: Max | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Decrease,Decrease,C?n ti?ng Anh nghi v?n: Decrease | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Save,Save,C?n ti?ng Anh nghi v?n: Save | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Select Left,Chọn Left,C?n ti?ng Anh nghi v?n: Left | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Select Right,Chọn Right,C?n ti?ng Anh nghi v?n: Right | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete,Complete,C?n ti?ng Anh nghi v?n: Complete | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Upgrade Weapon Level once,Nâng cấp Cấp độ Weapon 1 lần,C?n ti?ng Anh nghi v?n: Weapon | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Forgery Challenge,Challenge Giả Mạo,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Forgery Challenge,Challenge Giả Mạo,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Forgery Challenge,Challenge Giả Mạo,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Night of Remembrance,Night Tưởng Niệm,C?n ti?ng Anh nghi v?n: Night | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mail,Mail,C?n ti?ng Anh nghi v?n: Mail | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Menu,Menu,C?n ti?ng Anh nghi v?n: Menu | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 2,Đạt Cấp Rank 2,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 3,Đạt Cấp Rank 3,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 4,Đạt Cấp Rank 4,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 5,Đạt Cấp Rank 5,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 6,Đạt Cấp Rank 6,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 7,Đạt Cấp Rank 7,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 8,Đạt Cấp Rank 8,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 9,Đạt Cấp Rank 9,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Reach Rank Level 10,Đạt Cấp Rank 10,C?n ti?ng Anh nghi v?n: Rank | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Guide,Guide,C?n ti?ng Anh nghi v?n: Guide | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Score,Score,C?n ti?ng Anh nghi v?n: Score | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lock on Target,Lock mục tiêu,C?n ti?ng Anh nghi v?n: Lock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lock on Target,Lock mục tiêu,C?n ti?ng Anh nghi v?n: Lock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lock on Target,Lock mục tiêu,C?n ti?ng Anh nghi v?n: Lock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Mail,Mail,C?n ti?ng Anh nghi v?n: Mail | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tips,Tips,C?n ti?ng Anh nghi v?n: Tips | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tips,Tips,C?n ti?ng Anh nghi v?n: Tips | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Tips,Tips,C?n ti?ng Anh nghi v?n: Tips | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Lock on,Lock mục tiêu,C?n ti?ng Anh nghi v?n: Lock | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Complete 1 Main Quest,Complete 1 Nhiệm Vụ Chính,C?n ti?ng Anh nghi v?n: Complete | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Hello!,Hello!,C?n ti?ng Anh nghi v?n: Hello | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Switch Team,Switch Đội,C?n ti?ng Anh nghi v?n: Switch | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Adjust View,Điều chỉnh View,C?n ti?ng Anh nghi v?n: View | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Return to Cockpit,Return Buồng lái,C?n ti?ng Anh nghi v?n: Return | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Goal 3: Finish the trial with at least 30s left,Mục tiêu 3: Finish thử thách với ít nhất 30 giây còn lại,C?n ti?ng Anh nghi v?n: Finish | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Goal 3: Finish the trial with at least 30s left,Mục tiêu 3: Finish thử thách với ít nhất 30 giây còn lại,C?n ti?ng Anh nghi v?n: Finish | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Goal 3: Finish the trial with at least 60s left,Mục tiêu 3: Finish thử thách với ít nhất 60 giây còn lại,C?n ti?ng Anh nghi v?n: Finish | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Goal 3: Finish the trial with at least 30s left,Mục tiêu 3: Finish thử thách với ít nhất 30 giây còn lại,C?n ti?ng Anh nghi v?n: Finish | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Name,Name,C?n ti?ng Anh nghi v?n: Name | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Go,Go,C?n ti?ng Anh nghi v?n: Go | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Select Challenge,Chọn Challenge,C?n ti?ng Anh nghi v?n: Challenge | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Herald of New Tides,Sứ giả của Thủy Triều New,C?n ti?ng Anh nghi v?n: New | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
End of Event Reminder,Nhắc Nhở End Sự Kiện,C?n ti?ng Anh nghi v?n: End | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Right,Right,C?n ti?ng Anh nghi v?n: Right | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
What…,What…,C?n ti?ng Anh nghi v?n: What | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
You are…,Bạn are…,C?n ti?ng Anh nghi v?n: are | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Press 3),(Press 3),C?n ti?ng Anh nghi v?n: Press | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
(Leave),(Leave),C?n ti?ng Anh nghi v?n: Leave | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
I guess all the researchers are busy with the New Solar Ceremony,Chắc là tất cả các nhà nghiên cứu đều đang bận với Lễ hội Mặt Trời New,C?n ti?ng Anh nghi v?n: New | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Photo,Photo,C?n ti?ng Anh nghi v?n: Photo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Photo,Photo,C?n ti?ng Anh nghi v?n: Photo | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
ERROR,ERROR,C?n ti?ng Anh nghi v?n: ERROR | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
ERROR,ERROR,C?n ti?ng Anh nghi v?n: ERROR | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
ERROR,ERROR,C?n ti?ng Anh nghi v?n: ERROR | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Talk,Talk,C?n ti?ng Anh nghi v?n: Talk | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Right,Right,C?n ti?ng Anh nghi v?n: Right | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Up,Up,C?n ti?ng Anh nghi v?n: Up | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
test/,test/,C?n ti?ng Anh nghi v?n: test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Enter,Enter,C?n ti?ng Anh nghi v?n: Enter | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
Test,Test,C?n ti?ng Anh nghi v?n: Test | S? t?/c?m nghi v?n: 1 | T? l? nghi v?n: 1.0 | M?c ??: 16.0
